茄子  3.78元
青椒  3.58元
大白菜  1.63元
韭菜  2.37元
大葱  2.34元
芹菜  3.7元
土豆  2.31元
黄瓜  2.69元
蒜薹  4.05元
香菇  10.74元
南瓜  3.26元
西葫芦  2.41元
菠菜  3.27元
油菜  2.46元
豆角  5.67元
西红柿  3.31元
山药  7.99元
平菇  6.34元
西兰花  6.4元
尖椒  3.93元
莲藕  4元
莴笋  2.43元
生菜  3.09元
菜花  3.6元
生姜  6.5元
香菜  5.55元
大蒜  4.74元
胡萝卜  3.29元
白萝卜  1.46元
冬瓜  2.04元
茶树菇  15.46元
苦瓜  5.12元
冬笋  6.67元
西芹  4.38元
金针菇  5.32元
油麦菜  2.86元
葱头  1.65元
菜苔  5.93元
豌豆尖  20元
豌豆  3.97元
白蒜5.0公分  3.05元
马蹄  5.11元
小白菜  2.48元
韭菜花  6.68元
韭苔  8.07元
芥菜  3.86元
香椿  23.45元
青冬瓜  2.18元
光皮黄瓜  5.1元
荷兰豆  9.35元
长茄子  4.3元
圆茄子  3.78元
红尖椒  9.51元
芋头  5.28元
福鼎芋  10.2元
毛豆  8.11元
空心菜  4.66元
菜瓜  3.54元
茭白  6.1元
洋白菜  1.82元
木耳菜  5.5元
韭黄  11.37元
蒜苗  4.13元
茴香  3.09元
绿尖椒  4.42元
青笋  4.35元
竹笋  5.96元
玉米棒  3.4元
水萝卜  1.79元
樱桃西红柿  6.8元
良薯  3.09元
银耳  49.95元
黑木耳  33.72元
白灵菇  16.79元
鸡腿菇  14.45元
猴头菇  16.5元
杏鲍菇  6.06元
草菇  20.12元
佛手瓜  4元
慈菇  5.75元
瓠子  3.75元
红椒  8.41元
茼蒿  3.72元
辣椒干  29.37元
苋菜  4.08元
黄豆芽  2.4元
绿豆芽  2.21元
小葱  4.9元
豇豆  6.11元
